City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Batamshinskiy,KZ,50.5594,58.2747,3.96,92,10,9.42,clear sky
336,Qasigiannguit,GL,68.8193,-51.1922,1.76,73,27,5.12,scattered clouds
337,Bambous Virieux,MU,-20.3428,57.7575,77.22,73,40,10.36,scattered clouds
338,Moroto,UG,2.5345,34.6666,73.18,27,46,8.77,scattered clouds
339,Bratsk,RU,56.1325,101.6142,-15.66,99,94,3.15,overcast clouds
340,Tangshan,CN,39.6333,118.1833,24.44,33,0,13.02,clear sky
341,Simbahan,PH,6.3032,120.5836,81.81,77,97,5.17,overcast clouds
342,Altay,CN,47.8667,88.1167,13.46,69,26,6.51,scattered clouds
343,Ziro,IN,27.6333,93.8333,37.38,83,100,2.39,overcast clouds
344,Mayna,RU,54.1135,47.6231,19.18,94,100,7.27,overcast clouds
